"SiteID","Region","Altitude","LandUse"
329,"E",121.92,0
330,"E",121.92,0
331,"E",121.92,0
332,"E",137.16,0
333,"E",91.44,0
334,"E",91.44,0
339,"E",106.68,2
342,"E",106.68,2
343,"E",106.68,0
345,"E",60.96,0
346,"E",76.2,0
347,"E",76.2,0
348,"E",91.44,0
350,"E",91.44,0
351,"E",76.2,0
352,"E",60.96,0
353,"E",53.34,0
354,"E",60.96,0
355,"E",60.96,0
356,"E",121.92,0
357,"E",76.2,0
358,"E",60.96,0
359,"E",106.68,0
360,"E",76.2,0
361,"E",182.88,2
380,"E",167.64,2
383,"E",137.16,1
384,"E",152.4,2
385,"E",121.92,0
386,"E",182.88,2
387,"E",121.92,0
388,"E",198.12,2
389,"E",228.6,2
390,"E",173.736,1
391,"E",175.26,2
392,"E",137.16,2
393,"E",121.92,2
394,"E",121.92,2
395,"E",182.88,2
396,"E",76.2,0
397,"E",137.16,2
398,"E",243.84,2
399,"E",289.56,1
400,"E",,
405,"E",,
406,"E",,
407,"E",,
408,"E",,
409,"E",,
410,"E",,
411,"E",,
412,"E",,
413,"E",,
414,"E",,
415,"E",,
416,"E",,
417,"E",,
418,"E",,
419,"E",,
420,"E",,
421,"E",,
422,"E",,
423,"E",,
424,"E",,
425,"E",,
426,"E",,
427,"E",,
428,"E",,
