"RowID","MonksWoodID","GutID","Species","Score"
855,8042,153,"8",1
857,8394,154,"2",1
858,8394,154,"6",2
859,8394,154,"8",1
861,6061,155,"2",1
862,6061,155,"8",1
864,7360,156,"2",2
865,7360,156,"19",2
866,7360,156,"8",1
868,7365,157,"8",1
870,7594,158,"6",1
871,7594,158,"19",8
872,7594,158,"8",1
874,7608,159,"15",1
875,7608,159,"6",2
876,7608,159,"19",7
877,7638,160,"26",1
878,7638,160,"2",1
879,7855,161,"5",2
880,7856,162,"5",1
881,7857,163,"17",1
882,7870,164,"13",1
883,7870,164,"19",1
884,7881,165,"5",1
885,7881,165,"2",1
886,7872,166,"29",1
887,7872,166,"8",1
889,8036,167,"5",1
890,8042,168,"2",1
891,8042,168,"3",3
892,8042,168,"8",1
893,6038,169,"26",1
894,6723,170,"5",1
895,6742,171,"29",1
896,6742,171,"4",1
897,6742,171,"8",1
899,6745,172,"4",1
900,6745,172,"6",1
901,6745,172,"8",1
903,6844,173,"17",1
904,7376,174,"17",1
905,7449,175,"19",1
906,7449,175,"8",1
907,7449,175,"20",1
909,7450,176,"2",1
910,7450,176,"28",1
912,7597,177,"6",4
913,7597,177,"8",1
915,7601,178,"25",1
916,7601,178,"2",1
917,7601,178,"19",1
918,7601,178,"8",1
920,7603,179,"2",1
921,7603,179,"19",1
922,7603,179,"8",1
924,7865,180,"4",1
925,7865,180,"8",1
926,7866,181,"2",1
927,7866,181,"8",1
928,8139,182,"28",1
929,8139,182,"8",1
931,6721,183,"17",1
932,6721,183,"26",1
933,6722,184,"7",2
934,6724,185,"4",1
935,6724,185,"8",1
937,6749,186,"29",1
938,6843,187,"15",1
939,7621,188,"5",1
940,7622,189,"5",1
941,7622,189,"2",1
942,7622,189,"3",1
943,7622,189,"9",6
944,7622,189,"8",1
945,7622,189,"16",1
946,8864,190,"17",1
947,8848,191,"2",1
948,8848,191,"6",24
949,8848,191,"19",5
950,8848,191,"8",1
951,6046,192,"4",1
953,6049,193,"2",1
954,6049,193,"9",2
955,6049,193,"8",1
957,7631,194,"5",1
958,7888,195,"8",1
960,7893,196,"5",1
961,7893,196,"8",1
962,7901,197,"7",1
963,8423,198,"17",1
964,8423,198,"5",1
965,8423,198,"2",1
966,8423,198,"8",1
967,7892,199,"5",1
968,7899,200,"29",1
969,7899,200,"5",1
970,5927,201,"5",1
971,5927,201,"2",2
972,5927,201,"9",1
974,5928,202,"29",1
975,5928,202,"5",1
976,5928,202,"3",1
978,5995,203,"17",1
979,5996,204,"17",2
980,5961,205,"17",1
981,5961,205,"2",1
982,5961,205,"6",2
983,5961,205,"20",1
984,7816,206,"29",1
985,7816,206,"5",1
986,7885,207,"29",1
987,7885,207,"4",1
988,7885,207,"6",1
989,7961,208,"5",1
990,7966,209,"5",1
991,7966,209,"8",1
992,8338,210,"29",1
993,8338,210,"2",5
994,8338,210,"28",1
995,7662,211,"5",1
996,7481,212,"5",1
997,7481,212,"4",1
998,7481,212,"8",1
999,8045,213,"4",1
1000,8045,213,"6",1
1001,8045,213,"8",1
1002,6688,214,"6",1
