"TableName","FieldName","CodeRef","FieldDescription","FieldType","FieldSize"
"tblPelletComposition","Score",,"Number of identifiable fragments of the species","Byte",1
"tblPelletComposition","Species","PelletSpp","Prey species found in the pellet","Text",2
"tblPelletInfo","AgeSex","AgeSex","Age and sex class of the kestrel","Text",3
"tblPelletInfo","Breadth",,"Pellet breadth (mm)","Single",4
"tblPelletInfo","Date",,"Date of pellet collection","Date/Time",8
"tblPelletInfo","Length",,"Pellet length (mm)","Single",4
"tblPelletInfo","PelletID",,"Unique pellet identifier","Long",4
"tblPelletInfo","SiteCode","SiteCode","Code for the site at which the pellet was collected","Text",7
"tblPelletInfo","Weight",,"Oven-dried pellet mass (g)","Single",4
"tblRangeBehavModifiers","BehavModifier","BehavModifier","Further information about the kestrel's behaviour when sighted","Text",2
"tblRangeBehavModifiers","BehavSpp","BehavSpecies","Prey species or other species with which the kestrel was interacting","Text",2
"tblRangeBehavModifiers","SightingID",,"Unique sighting identifier","Long",4
"tblRanging","Behaviour","Behav","Code for behaviour at time of observation","Byte",1
"tblRanging","Date",,"Date of sighting","Date/Time",8
"tblRanging","Easting",,"OS National Grid Easting","Long",4
"tblRanging","GridSquare",,"OS National Grid 100km-square identifier","Text",2
"tblRanging","KestrelID",,"Unique Identity number for the kestrel (or this specific ranging observation if it was an unmarked bird)","Long",4
"tblRanging","Northing",,"OS National Grid Northing","Integer",2
"tblRanging","SightingID",,"Unique sighting identifier","Long",4
"tblRanging","SightingNo",,"Position in observation sequence for the individual kestrel (multiple fixes may be recorded for a kestrel when being tracked). 0=first, or only, observation","Integer",2
"tblRanging","SightType","RangeType","Whether kestrel was sighted, located by telemetry or trapped","Text",1
"tblRanging","StudyArea","Area","Study area code","Text",1
"tblSiteCodes","Easting",,"OS National Grid Easting","Integer",2
"tblSiteCodes","FullName",,"Location Name","Text",255
"tblSiteCodes","GridSquare",,"OS National Grid 100km-square identifier","Text",2
"tblSiteCodes","Northing",,"OS National Grid Northing","Integer",2
"tblSiteCodes","SiteCode",,"Code used for the specified grid reference","Text",7
"tblSiteCodes","StudyArea","Area","Study area code","Text",1
"tblSiteCodes","Type","SiteType","Whether the site was used as a roost, nest or both","Text",1
"tblTableFieldList","CodeRef",,"Category of codes used for data in this field","Text",50
"tblTableFieldList","FieldDescription",,"Description of the contents of the field","Text",255
"tblTableFieldList","FieldName",,"Name of the field in the table","Text",64
"tblTableFieldList","FieldSize",,"Storage requirement of the field (bytes)","Byte",1
"tblTableFieldList","FieldType",,"Data type of the field","Text",10
"tblTableFieldList","TableName",,"Name of the database table","Text",64
"tblTableList","Description",,"Description of the table","Text",250
"tblTableList","TableName",,"Name of the database table","Text",25
"tblVoleCarcassData","Age","VoleAge","Age class of trapped animal","Text",1
"tblVoleCarcassData","AnoGenDist",,"Anogenital distance (mm)","Single",4
"tblVoleCarcassData","BodyLength",,"Body length (mm)","Integer",2
"tblVoleCarcassData","BreedCond","VoleCond","Breeding condition","Text",1
"tblVoleCarcassData","CarcassID",,"Unique carcass identifier","Integer",2
"tblVoleCarcassData","CatchMonth",,"Trapping month","Byte",1
"tblVoleCarcassData","CatchYear",,"Trapping year","Integer",2
"tblVoleCarcassData","DryWt",,"Carcass dry mass (g)","Double",8
"tblVoleCarcassData","HindFootLen",,"Hind foot length (mm)","Integer",2
"tblVoleCarcassData","LeanDryWt",,"Carcass lean dry mass (following Soxhlet extraction) (g)","Double",8
"tblVoleCarcassData","Nembryos",,"Number of embryos visible","Byte",1
"tblVoleCarcassData","Nipples","VoleNipple","Lactation status of nipples","Text",1
"tblVoleCarcassData","OvaryOviductWt",,"Ovary and oviduct mass (g)","Double",8
"tblVoleCarcassData","Pregnant","YesNo","Whether or not pregnant","Boolean",1
"tblVoleCarcassData","Sex","Sex","Sex of trapped animal","Text",1
"tblVoleCarcassData","Site",,"Trapping site","Byte",1
"tblVoleCarcassData","Species","VoleSpp","Species of small mammal","Text",2
"tblVoleCarcassData","StudyArea","Area","Study area","Text",1
"tblVoleCarcassData","TailLen",,"Tail length (mm)","Integer",2
"tblVoleCarcassData","TestLen",,"Testes length (mm)","Single",4
"tblVoleCarcassData","TestWidth",,"Testes width (mm)","Single",4
"tblVoleCarcassData","TestWt",,"Testes mass (g)","Double",8
"tblVoleCarcassData","Weight",,"Mass of trapped animal (g)","Single",4
"tblVoleTrapNightData","Count",,"Number of species caught. This is the number caught per 60-trap nights (i.e. scaling the actual numbers to account for missing and sprung traps)","Integer",2
"tblVoleTrapNightData","RowID",,"Unique table-row identifier","Long",4
"tblVoleTrapNightData","Species","VoleSpp","Small mammal species caught in trap","Text",2
"tblVoleTrapNightData","TrapNightID",,"Unique trapping-night identifier","Long",4
"tblVoleTrapNightInfo","DropIndex",,"Number of random quadrats that contained vole droppings at trap site/night (out of 25 25x25cm quadrats)","Integer",2
"tblVoleTrapNightInfo","GrassStemIndex",,"Number of random quadrats that contained cut grass stems at trap site/night (out of 25 25x25cm quadrats)","Integer",2
"tblVoleTrapNightInfo","MissingTraps",,"Number of snap-traps that could not be found the following day","Byte",1
"tblVoleTrapNightInfo","Month",,"Month of trapping","Byte",1
"tblVoleTrapNightInfo","Site",,"Trapping site","Byte",1
"tblVoleTrapNightInfo","SprungTraps",,"Number of snap-traps that had sprung without catching anything","Byte",1
"tblVoleTrapNightInfo","StudyArea","Area","Study area code","Text",1
"tblVoleTrapNightInfo","TotalTrapNights",,"Number of snap-traps that either caught or weren't sprung (this is used to scale the counts in tblVoleTrapNightData)","Byte",1
"tblVoleTrapNightInfo","TrapNightID",,"Unique trap-night identifier","Long",4
"tblVoleTrapNightInfo","Year",,"Year of trapping","Integer",2
"tblVoleWeights","Breeding","VoleBreedStatus","Breeding status of the trapped animal","Text",1
"tblVoleWeights","Month",,"Month of trapping","Byte",1
"tblVoleWeights","RowID",,"Unique table-row identifier","Long",4
"tblVoleWeights","Sex","Sex","Sex of the animal","Text",1
"tblVoleWeights","Site",,"Trapping site","Integer",2
"tblVoleWeights","Species","VoleSpp","Species of small mammal","Text",2
"tblVoleWeights","StudyArea","Area","Study area code","Text",1
"tblVoleWeights","TrapNightID",,"Unique trapping night identifier","Long",4
"tblVoleWeights","Weight",,"Mass of the trapped animal (g)","Integer",2
"tblVoleWeights","Year",,"Year of trapping","Integer",2
