"CodeRef","Value","Label"
"PELLETSPP","16","Lizard"
"PELLETSPP","17","Field vole (Microtus agrestis)"
"PELLETSPP","18","Millipede"
"PELLETSPP","19","Orthoptera"
"PELLETSPP","2","Beetle, Carabid"
"PELLETSPP","20","Other Beetle Larva"
"PELLETSPP","21","Other Insect"
"PELLETSPP","22","Other Mammal"
"PELLETSPP","23","Other Unspecified"
"PELLETSPP","24","Rabbit (Oryctolagus cunniculus)"
"PELLETSPP","25","Rat (Rattus sp)"
"PELLETSPP","26","Shrew (Sorex spp.)"
"PELLETSPP","27","Snail"
"PELLETSPP","28","Spider"
"PELLETSPP","29","Unidentified Vole Spp"
"PELLETSPP","3","Beetle, Scarabid"
"PELLETSPP","30","Water Vole (Arvicola terrestris)"
"PELLETSPP","31","Weasel (Mustela nivalis)"
"PELLETSPP","32","Woodlouse"
"PELLETSPP","4","Unidentified Beetle"
"PELLETSPP","5","Bird"
"PELLETSPP","6","Caterpillar"
"PELLETSPP","7","Bank vole (Clethrionomys glareolus)"
"PELLETSPP","8","Earthworm (Lumbricus terrestris)"
"PELLETSPP","9","Earwig"
"RANGETYPE","0","Located by sight"
"RANGETYPE","1","Radio telemetry, bird not seen"
"RANGETYPE","2","Radio telemetry, bird seen"
"RANGETYPE","3","Radio telemetry, at roost"
"RANGETYPE","4","Bird in trap"
"SEASON","A","Autumn (Sept-Nov)"
"SEASON","S","Spring (Mar-May)"
"SEASON","W","Winter (Dec-Feb)"
"SEX","B","Brown birds: i.e. females or juvenile males"
"SEX","F","Female"
"SEX","M","Male"
"SITETYPE","B","Roost and Nest"
"SITETYPE","N","Nest"
"SITETYPE","R","Roost"
"VOLEAGE","A","Adult (full grown)"
"VOLEBREEDSTATUS","B","Breeding (testes scrotal of vagina perforated)"
"VOLEBREEDSTATUS","L","Lactating (nipples erect)"
"VOLEBREEDSTATUS","N","Non-breeding"
"VOLEBREEDSTATUS","P","Pregnant"
"VOLECOND","1","Testes Abdominal"
"VOLECOND","2","Testes scrotal"
"VOLECOND","3","intact hymen"
"VOLECOND","4","Perforate hymen"
"VOLECOND","5","Perforate hymen with plug"
"VOLENIPPLE","1","Nipples hidden"
"VOLENIPPLE","2","Nipples protruding"
"VOLENIPPLE","3","Lactating"
"VOLESPP","1","Apodemus spp."
"VOLESPP","10","Other"
"VOLESPP","2","Water vole (Arvicola terrestris)"
"VOLESPP","3","Field vole (Microtus agrestis)"
"VOLESPP","4","Bank vole (Clethrionomys glareolus)"
"VOLESPP","5","House mouse (Mus musculus)"
"VOLESPP","6","Harvest mouse (Micromys minutus)"
"VOLESPP","7","Common Shrew (Sorex araneus)"
"VOLESPP","8","Pygmy shrew (Sorex minutus)"
"VOLESPP","9","Water Shrew (Neomys fodiens)"
"VOLESPP","J","Juvenile"
"YESNO","0","No"
"YESNO","-1","Yes"
