"TrapNightID","Site","StudyArea","Year","Month","DropIndex","GrassStemIndex","MissingTraps","SprungTraps","TotalTrapNights"
44,2,"A",1982,1,3,6,0,0,60
45,4,"A",1982,1,8,11,4,2,54
46,5,"A",1982,1,7,8,2,2,56
47,6,"A",1982,1,7,12,10,0,50
48,3,"A",1982,1,9,11,4,0,56
49,2,"M",1982,1,12,13,4,4,52
50,1,"M",1982,1,6,14,2,3,55
51,3,"M",1982,1,5,8,4,0,56
52,7,"M",1982,1,13,10,10,3,47
53,6,"M",1982,1,8,10,0,2,58
54,4,"M",1982,1,12,11,0,7,53
55,5,"M",1982,1,9,10,0,0,60
56,1,"M",1982,4,1,4,0,0,60
57,2,"A",1982,4,0,8,0,1,59
58,4,"A",1982,4,3,10,4,2,54
59,5,"A",1982,4,6,13,6,2,52
60,6,"A",1982,4,3,10,4,2,54
61,3,"A",1982,4,2,12,4,3,53
62,5,"M",1982,4,3,6,4,1,55
63,6,"M",1982,4,1,7,6,0,54
64,7,"M",1982,4,4,9,1,4,55
65,3,"M",1982,4,2,7,4,4,52
66,2,"M",1982,4,1,4,0,4,56
67,4,"M",1982,4,4,7,6,1,53
68,1,"M",1982,4,2,6,0,3,57
69,1,"M",1982,7,0,5,0,12,48
70,5,"M",1982,7,1,10,0,3,57
71,4,"M",1982,7,11,17,4,14,42
72,6,"M",1982,7,0,5,4,5,51
73,7,"M",1982,7,2,6,4,9,47
74,3,"M",1982,7,3,6,4,2,54
75,2,"M",1982,7,1,8,6,2,52
76,1,"A",1982,10,8,11,0,10,50
77,2,"A",1982,10,8,7,2,5,53
78,4,"A",1982,10,6,8,0,4,56
79,5,"A",1982,10,5,9,8,2,50
80,6,"A",1982,10,5,8,4,1,55
81,3,"A",1982,10,8,9,6,4,50
82,1,"A",1982,7,0,4,6,1,53
83,2,"A",1982,7,2,5,4,3,53
84,4,"A",1982,7,3,9,4,5,51
85,5,"A",1982,7,4,9,2,4,54
86,9,"A",1982,7,0,6,0,2,58
87,3,"A",1982,7,4,11,4,5,51
88,4,"M",1982,10,11,15,1,10,49
89,5,"M",1982,10,6,13,8,3,49
90,6,"M",1982,10,6,15,4,2,54
91,7,"M",1982,10,9,16,8,2,50
92,3,"M",1982,10,8,11,0,3,57
93,2,"M",1982,10,4,13,0,6,54
94,1,"M",1982,10,1,15,8,1,51
95,1,"A",1983,1,4,7,8,1,51
96,2,"A",1983,1,6,7,4,4,52
97,4,"A",1983,1,8,14,0,3,57
98,5,"A",1983,1,3,7,2,0,58
99,6,"A",1983,1,6,10,10,1,49
100,3,"A",1983,1,3,10,0,0,60
101,4,"M",1983,1,7,13,4,9,47
102,5,"M",1983,1,6,13,4,2,54
103,6,"M",1983,1,6,11,4,1,55
104,7,"M",1983,1,9,21,4,5,51
105,2,"M",1983,1,3,6,4,1,55
106,1,"M",1983,1,2,17,4,0,56
107,3,"M",1983,1,9,17,4,4,52
108,1,"A",1983,4,3,11,4,1,55
109,4,"A",1983,4,3,8,0,0,60
110,5,"A",1983,4,3,13,0,0,60
111,6,"A",1983,4,2,9,0,2,58
112,3,"A",1983,4,3,7,0,1,59
113,4,"M",1983,4,7,12,6,2,52
114,5,"M",1983,4,5,11,2,1,57
115,6,"M",1983,4,5,11,13,2,45
116,7,"M",1983,4,8,14,16,3,41
117,2,"M",1983,4,3,10,4,3,53
118,1,"M",1983,4,1,8,0,3,57
119,3,"M",1983,4,5,12,12,0,48
120,5,"M",1983,7,5,10,0,4,56
121,4,"M",1983,7,3,9,0,11,49
122,6,"M",1983,7,1,9,0,4,56
123,7,"M",1983,7,1,2,0,5,55
124,3,"M",1983,7,2,7,0,1,59
125,2,"M",1983,7,3,8,2,3,55
126,1,"M",1983,7,3,11,0,11,49
127,1,"A",1983,7,4,13,2,3,55
128,4,"A",1983,7,7,11,0,2,58
129,5,"A",1983,7,10,15,0,5,55
130,6,"A",1983,7,9,9,0,4,56
131,3,"A",1983,7,7,13,2,4,54
132,4,"M",1983,10,4,12,2,10,48
133,5,"M",1983,10,6,10,0,3,57
134,6,"M",1983,10,9,14,0,10,50
135,7,"M",1983,10,9,9,2,5,53
136,2,"M",1983,10,7,14,1,6,53
137,3,"M",1983,10,16,19,4,5,51
138,1,"M",1983,10,8,21,2,4,54
139,1,"A",1983,10,7,12,0,6,54
140,4,"A",1983,10,7,13,2,0,58
141,5,"A",1983,10,8,17,0,7,53
142,6,"A",1983,10,8,15,2,3,55
143,3,"A",1983,10,13,14,0,6,54
144,1,"A",1984,1,6,16,10,3,47
145,2,"A",1984,1,12,14,12,6,42
146,4,"A",1984,1,4,9,10,5,45
147,5,"A",1984,1,8,17,10,3,47
148,6,"A",1984,1,4,11,12,3,45
149,3,"A",1984,1,5,12,12,2,46
150,4,"M",1984,1,12,19,12,7,41
151,5,"M",1984,1,11,14,12,2,46
152,6,"M",1984,1,8,15,12,2,46
153,7,"M",1984,1,13,14,11,0,49
154,3,"M",1984,1,4,12,10,2,48
155,2,"M",1984,1,7,8,10,3,47
156,1,"M",1984,1,7,14,0,0,60
157,1,"A",1984,4,8,7,12,2,46
158,2,"A",1984,4,8,8,10,0,50
159,4,"A",1984,4,4,8,12,3,45
160,5,"A",1984,4,4,9,10,3,47
161,6,"A",1984,4,8,12,12,0,48
162,3,"A",1984,4,7,11,12,4,44
163,4,"M",1984,4,10,18,10,8,42
164,5,"M",1984,4,7,17,10,2,48
165,6,"M",1984,4,10,19,12,1,47
166,7,"M",1984,4,10,17,12,1,47
167,3,"M",1984,4,7,13,12,0,48
168,2,"M",1984,4,4,11,12,0,48
169,1,"M",1984,4,1,9,4,1,55
170,1,"M",1984,7,3,13,12,7,41
171,5,"M",1984,7,8,15,0,5,55
172,4,"M",1984,7,2,9,0,2,58
173,6,"M",1984,7,8,18,0,2,58
174,7,"M",1984,7,11,17,0,4,56
175,3,"M",1984,7,7,16,0,5,55
176,2,"M",1984,7,5,9,0,2,58
177,1,"A",1984,7,7,14,0,5,55
178,2,"A",1984,7,7,13,0,7,53
179,4,"A",1984,7,4,10,0,2,58
180,5,"A",1984,7,11,18,4,3,53
181,6,"A",1984,7,8,17,1,5,54
182,3,"A",1984,7,8,15,2,2,56
183,1,"A",1984,10,10,19,0,6,54
184,2,"A",1984,10,4,9,2,4,54
185,4,"A",1984,10,4,16,0,6,54
186,5,"A",1984,10,7,19,30,1,29
187,6,"A",1984,10,8,16,0,4,56
188,3,"A",1984,10,10,17,0,8,52
189,9,"M",1984,10,12,20,0,5,55
190,5,"M",1984,10,6,16,0,2,58
191,6,"M",1984,10,14,22,0,4,56
192,7,"M",1984,10,10,21,0,2,58
193,2,"M",1984,10,5,15,0,3,57
194,1,"M",1984,10,4,23,0,2,58
195,3,"M",1984,10,3,13,0,1,59
196,1,"M",1985,1,15,23,0,0,60
197,9,"M",1985,1,5,11,0,4,56
198,5,"M",1985,1,8,18,0,1,59
199,6,"M",1985,1,6,15,0,1,59
200,7,"M",1985,1,9,19,0,2,58
201,2,"M",1985,1,6,11,0,4,56
202,1,"A",1985,1,3,12,0,0,60
203,2,"A",1985,1,5,18,0,1,59
204,4,"A",1985,1,7,16,0,1,59
205,5,"A",1985,1,6,15,0,2,58
206,6,"A",1985,1,3,10,0,5,55
207,3,"A",1985,1,2,13,0,0,60
208,1,"A",1985,4,2,14,0,1,59
209,2,"A",1985,4,7,17,0,1,59
210,4,"A",1985,4,4,12,0,2,58
211,5,"A",1985,4,7,15,0,0,60
212,6,"A",1985,4,3,9,0,0,60
213,3,"A",1985,4,3,14,0,10,50
214,9,"M",1985,4,6,18,0,2,58
215,5,"M",1985,4,6,16,0,3,57
216,6,"M",1985,4,4,8,0,0,60
217,7,"M",1985,4,8,15,0,4,56
218,2,"M",1985,4,7,12,0,4,56
219,1,"M",1985,4,4,16,0,0,60
220,3,"M",1985,4,2,9,2,4,54
221,1,"A",1985,7,8,14,0,1,59
222,2,"A",1985,7,3,15,0,4,56
223,4,"A",1985,7,5,13,0,2,58
224,5,"A",1985,7,4,11,0,3,57
225,6,"A",1985,7,4,11,0,3,57
226,3,"A",1985,7,4,12,0,7,53
227,9,"M",1985,7,8,19,0,6,54
228,5,"M",1985,7,5,12,0,8,52
229,6,"M",1985,7,8,13,0,8,52
230,7,"M",1985,7,7,13,0,8,52
231,2,"M",1985,7,11,18,0,8,52
232,1,"M",1985,7,1,7,14,2,44
233,3,"M",1985,7,3,15,0,4,56
234,1,"A",1985,10,8,15,0,10,50
235,2,"A",1985,10,8,13,0,6,54
236,4,"A",1985,10,5,10,0,0,60
237,5,"A",1985,10,6,10,0,2,58
238,6,"A",1985,10,5,10,0,4,56
239,3,"A",1985,10,8,16,0,6,54
240,1,"M",1985,10,1,7,0,1,59
241,3,"M",1985,10,11,20,0,9,51
242,9,"M",1985,10,12,17,0,5,55
243,5,"M",1985,10,11,14,0,6,54
244,6,"M",1985,10,13,17,0,7,53
245,7,"M",1985,10,8,15,0,3,57
246,2,"M",1985,10,8,18,0,8,52
247,1,"M",1986,1,9,9,0,0,60
248,3,"M",1986,1,8,17,0,1,59
249,9,"M",1986,1,5,12,0,0,60
250,5,"M",1986,1,5,13,0,2,58
251,6,"M",1986,1,5,13,0,2,58
252,7,"M",1986,1,7,12,0,1,59
253,2,"M",1986,1,7,10,0,1,59
254,1,"A",1986,1,10,16,0,0,60
255,2,"A",1986,1,7,17,0,5,55
256,4,"A",1986,1,6,12,0,4,56
257,5,"A",1986,1,7,12,0,2,58
258,6,"A",1986,1,7,12,0,9,51
259,3,"A",1986,1,5,8,0,9,51
260,3,"M",1986,4,10,13,2,0,58
261,8,"M",1986,4,6,17,0,0,60
262,9,"M",1986,4,9,15,0,2,58
263,5,"M",1986,4,8,13,0,1,59
264,6,"M",1986,4,6,15,0,2,58
265,7,"M",1986,4,9,16,0,2,58
266,2,"M",1986,4,7,13,0,4,56
267,1,"A",1986,4,4,10,0,4,56
268,2,"A",1986,4,5,11,0,2,58
269,4,"A",1986,4,3,8,0,1,59
270,5,"A",1986,4,4,13,0,24,36
271,6,"A",1986,4,5,10,0,4,56
272,10,"A",1986,4,5,11,0,4,56
273,17,"A",1986,4,2,12,0,0,60
274,18,"A",1986,4,10,17,6,5,49
275,19,"A",1986,4,5,14,0,4,56
276,3,"M",1986,7,11,16,0,4,56
277,1,"M",1986,7,1,5,0,9,51
278,9,"M",1986,7,9,18,0,5,55
279,5,"M",1986,7,8,14,1,9,50
280,6,"M",1986,7,6,14,0,4,56
281,7,"M",1986,7,7,17,0,8,52
282,2,"M",1986,7,4,13,0,5,55
283,18,"A",1986,7,0,16,6,4,50
284,1,"A",1986,7,5,13,0,11,49
285,2,"A",1986,7,9,16,0,6,54
286,4,"A",1986,7,5,13,0,5,55
287,5,"A",1986,7,4,13,0,6,54
288,19,"A",1986,7,10,15,0,4,56
289,6,"A",1986,7,4,13,0,6,54
290,10,"A",1986,7,7,14,0,6,54
291,17,"A",1986,10,13,18,2,3,55
292,18,"A",1986,10,0,8,6,6,48
293,1,"M",1986,10,2,6,3,2,55
294,3,"M",1986,10,17,20,4,5,51
295,9,"M",1986,10,12,17,0,4,56
296,5,"M",1986,10,10,18,0,3,57
297,6,"M",1986,10,9,15,0,2,58
298,7,"M",1986,10,7,13,0,4,56
299,2,"M",1986,10,8,14,0,8,52
300,1,"A",1986,10,10,19,0,3,57
301,2,"A",1986,10,7,15,0,8,52
302,4,"A",1986,10,3,11,0,7,53
303,5,"A",1986,10,8,17,0,5,55
304,9,"A",1986,10,10,21,0,9,51
305,6,"A",1986,10,6,14,0,5,55
306,10,"A",1986,10,6,13,0,5,55
307,1,"A",1987,1,5,13,0,5,55
308,2,"A",1987,1,4,10,0,3,57
309,4,"A",1987,1,3,10,0,4,56
310,5,"A",1987,1,5,11,0,3,57
311,9,"A",1987,1,9,18,0,3,57
312,6,"A",1987,1,3,9,0,2,58
313,10,"A",1987,1,4,8,0,3,57
314,17,"A",1987,1,5,19,0,1,59
315,18,"A",1987,1,5,12,6,2,52
316,9,"M",1987,1,6,14,0,1,59
317,5,"M",1987,1,4,12,0,3,57
318,6,"M",1987,1,4,10,0,2,58
319,7,"M",1987,1,5,10,2,2,56
320,2,"M",1987,1,8,15,0,4,56
321,1,"M",1987,1,2,6,0,1,59
322,3,"M",1987,1,8,13,0,4,56
323,1,"M",1987,4,,,4,4,52
324,3,"M",1987,4,,,2,4,54
325,9,"M",1987,4,9,17,0,3,57
326,5,"M",1987,4,8,11,0,2,58
327,6,"M",1987,4,6,12,0,3,57
328,7,"M",1987,4,8,14,0,3,57
329,2,"M",1987,4,5,9,0,2,58
330,18,"A",1987,4,,,8,3,49
331,1,"A",1987,4,5,8,0,2,58
332,2,"A",1987,4,6,12,0,3,57
333,5,"A",1987,4,5,7,0,3,57
334,9,"A",1987,4,8,17,0,5,55
335,6,"A",1987,4,2,9,0,3,57
336,10,"A",1987,4,7,12,0,5,55
337,4,"A",1987,4,4,7,0,3,57
338,3,"M",1987,7,7,10,0,7,53
339,1,"M",1987,7,2,10,2,9,49
340,9,"M",1987,7,13,20,0,6,54
341,5,"M",1987,7,7,15,0,7,53
342,6,"M",1987,7,6,12,0,5,55
343,7,"M",1987,7,6,17,0,5,55
344,2,"M",1987,7,6,12,0,5,55
345,1,"A",1987,7,9,16,0,3,57
346,2,"A",1987,7,8,14,0,3,57
347,4,"A",1987,7,2,7,0,3,57
348,5,"A",1987,7,4,13,0,5,55
349,9,"A",1987,7,10,18,0,7,53
350,10,"A",1987,7,10,19,0,7,53
351,17,"A",1987,10,,,0,7,53
352,18,"A",1987,10,,,14,2,44
353,1,"A",1987,10,10,15,0,17,43
354,2,"A",1987,10,6,15,0,4,56
355,5,"A",1987,10,7,14,0,4,56
356,9,"A",1987,10,11,17,0,8,52
357,10,"A",1987,10,4,8,0,3,57
358,1,"M",1987,10,,,0,5,55
359,3,"M",1987,10,,,0,4,56
360,9,"M",1987,10,11,20,0,1,59
361,5,"M",1987,10,6,15,0,2,58
362,6,"M",1987,10,11,19,2,3,55
363,7,"M",1987,10,8,10,0,5,55
364,2,"M",1987,10,11,14,0,5,55
365,3,"M",1988,1,,,2,0,58
366,9,"M",1988,1,,,0,24,36
367,6,"M",1988,1,,,30,3,28
368,7,"M",1988,1,,,0,16,44
369,2,"M",1988,1,,,0,54,7
370,5,"M",1988,1,,,0,10,50
371,1,"A",1988,1,,,0,3,57
372,2,"A",1988,1,,,0,3,57
373,5,"A",1988,1,,,30,2,29
374,9,"A",1988,1,,,0,2,58
375,10,"A",1988,1,,,0,5,55
376,4,"A",1988,1,,,0,4,56
377,9,"M",1988,4,,,0,15,45
378,5,"M",1988,4,,,0,11,49
379,6,"M",1988,4,,,0,6,54
380,7,"M",1988,4,,,0,13,47
381,2,"M",1988,4,,,0,6,54
382,3,"M",1988,4,,,0,5,55
383,1,"A",1988,4,,,0,4,56
384,2,"A",1988,4,,,0,3,57
385,5,"A",1988,4,,,0,5,55
386,9,"A",1988,4,,,0,5,55
387,10,"A",1988,4,,,0,5,55
388,1,"M",1988,7,,,0,9,51
389,3,"M",1988,7,,,0,13,47
390,9,"M",1988,7,,,0,9,51
391,5,"M",1988,7,,,0,6,54
392,6,"M",1988,7,,,0,11,49
393,7,"M",1988,7,,,0,7,53
394,2,"M",1988,7,,,0,6,54
395,1,"A",1988,7,,,0,12,48
396,2,"A",1988,7,,,0,4,56
397,5,"A",1988,7,,,0,2,58
398,9,"A",1988,7,,,0,9,51
399,10,"A",1988,7,,,0,4,56
400,1,"A",1988,10,,,0,10,50
401,2,"A",1988,10,,,0,16,44
402,5,"A",1988,10,,,0,14,46
403,9,"A",1988,10,,,2,14,44
404,10,"A",1988,10,,,0,9,51
405,9,"M",1988,10,,,0,4,56
406,5,"M",1988,10,,,0,1,59
407,6,"M",1988,10,,,0,1,59
408,7,"M",1988,10,,,0,6,54
409,2,"M",1988,10,,,0,1,59
410,2,"M",1989,1,,,0,5,55
411,1,"M",1989,1,,,0,2,58
412,7,"M",1989,1,,,0,2,58
413,6,"M",1989,1,,,0,0,60
414,5,"M",1989,1,,,20,2,38
415,9,"M",1989,1,,,23,2,35
416,9,"A",1989,1,,,8,4,48
417,12,"A",1989,1,,,8,3,49
418,10,"A",1989,1,,,8,3,49
419,5,"A",1989,1,,,8,7,45
420,2,"A",1989,1,,,8,4,48
421,1,"A",1989,1,,,7,3,50
422,7,"M",1989,4,,,6,4,50
423,6,"M",1989,4,,,12,3,45
424,5,"M",1989,4,,,6,1,53
425,9,"M",1989,4,,,8,3,49
426,2,"M",1989,4,,,6,7,47
427,1,"M",1989,4,,,6,0,54
428,9,"A",1989,4,,,14,4,42
429,12,"A",1989,4,,,8,2,50
430,5,"A",1989,4,,,8,9,43
431,2,"A",1989,4,,,8,4,48
432,10,"A",1989,4,,,4,2,54
433,1,"A",1989,4,,,4,2,54
